ID,PosX,PosY,PosZ,RotX,RotY,Rotz,ScaleX,ScaleY,ScaleZ
Cube (17),28.53,-19.8,237.9,0,0,0,5.5873,0.9999995,6.273735
Sango (3),-35.87702,-0.06287664,260.7055,0,0,0,1,1,1
NewMoveGround (3),-50.43,-17.48,254.099,0,0,0,7.124133,0.6092278,9.076699,0,7,0,1.8
Cube (20),-0.23,-5.04,199.811,0,0,0,28.62407,0.9999999,21.66122
Sango (1),-31.08,-18.55,248.87,0,0,0,1,1,1
Wall (11),-14.118,-3.7366,200.009,0,0,0,0.7010839,1.606849,20.71444
Slope,-50.41,-18.088,246.152,336.856,-1.562133E-07,4.987501E-07,6.213521,0.4434609,6.238374
Wall (6),-2.431,-13.65,298.62,0,0,0,8.618399,6.732845,0.5
DoorYellow (1),13.351,-18.96,266.555,0,0,0,5.256747,0.9999995,8.4106
Cube (7),0.000295639,0.0001869202,-86.7681,0,0,0,14.44553,1,26.87235
Cube (15),28.53,-19.8,258.27,0,0,0,5.5873,0.9999995,6.273735
BreakWall,-0.3669996,4.709999,49.35627,0,0,0,14.93059,7.983516,1
Cube (9),23.301,-18.96,225.804,0,0,0,18.4396,0.9999996,4.31279
Cube (16),28.44,-19.8,273.9,0,0,0,7.898623,0.9999995,6.273735
SwitchYellow,0.3472233,0.4,-73.35268,0,0,0,1,1,1
Sango,-0.07,-16.306,274.99,0,0,0,1,1,1
NewMoveGround (10),32.99,-18.054,251.393,0,0,0,1,3.082973,5.282613,-9,0,0,1
DoorBlue (1),-0.2379742,0.0001869202,-35.6821,0,0,0,14.08078,1,6.676564
BreakWall (3),-0.3669996,3.091,119.4,0,0,0,14.93059,4.740935,1
Cube (8),-0.06970406,0.0001869202,-43.3871,0,0,0,14.44555,1,8.559074
Cube (6),-57.443,-19.567,267.78,0,0,0,5.283657,0.9999995,5.720002
SwitchRed (1),0.3472233,0.4,-63.42681,0,357.52,0,1,1,1
DoorRed,14.85,-16.815,225.91,0,0,0,1.04351,3.290358,6.431588
Dash,-0.3125324,1.379999,44.13,0,0,0,1,1,1
Cube (4),0,0,114.15,0,0,0,14.44552,1,39.41233
DoorYellow,0.4602957,5.724186,-67.57268,0,0,0,16.22902,10.1959,1
DoorRed (1),-2.518,-13.992,287.36,0,0,0,6.893297,5.754866,1.253268
A,10.3933,-16.43181,-15.8392,0,0,0,1,1,1
